"AGIX Holdings","As of 2025-07-08","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"META PLATFORMS INC",7.69,META,US30303M1027,"3,169","2,283,803"
2,"MICROSOFT CORP",5.32,MSFT,US5949181045,"3,180","1,579,252"
3,"AMAZON.COM INC",5.08,AMZN,US0231351067,"6,877","1,508,539"
4,"NVIDIA CORP",4.62,NVDA,US67066G1040,"8,573","1,371,680"
5,"ANTHROPIC, PBC",3.37,1892140D,–,"17,829","999,966"
6,"APPLE INC",3.22,AAPL,US0378331005,"4,559","957,436"
7,"ALPHABET INC-CL A",3.10,GOOGL,US02079K3059,"5,285","921,493"
8,"NEBIUS GROUP NV",2.91,NBIS,NL0009805522,"18,362","864,850"
9,"ORACLE CORP",2.89,ORCL,US68389X1054,"3,659","858,036"
10,"SERVICENOW INC",2.78,NOW,US81762P1021,807,"825,545"
11,"SALESFORCE INC",2.77,CRM,US79466L3024,"3,004","822,045"
12,"BROADCOM INC",2.73,AVGO,US11135F1012,"2,977","809,149"
13,"PALANTIR TECHN-A",2.66,PLTR,US69608A1088,"5,649","789,222"
14,"TESLA INC",2.55,TSLA,US88160R1014,"2,539","756,140"
15,"SAP SE",2.33,SAP,DE0007164600,"2,239","691,563"
16,"CLOUDFLARE INC - CLASS A",2.29,NET,US18915M1071,"3,531","680,812"
17,TSMC,2.25,2330,TW0002330008,"18,000","669,145"
18,"ROBLOX CORP -CLASS A",2.23,RBLX,US7710491033,"6,317","662,906"
19,"SNOWFLAKE INC",2.09,SNOW,US8334451098,"2,771","619,319"
20,"SK HYNIX INC",2.06,000660,KR7000660001,"2,965","611,296"
21,"DATADOG INC - CLASS A",2.00,DDOG,US23804L1035,"4,059","592,370"
22,"ADOBE INC",1.93,ADBE,US00724F1012,"1,501","573,742"
23,"TEMPUS AI INC",1.84,TEM,US88023B1035,"9,341","546,542"
24,"ELASTIC NV",1.78,ESTC,NL0013056914,"6,148","529,158"
25,DUOLINGO,1.74,DUOL,US26603R1068,"1,328","517,190"
26,"SHOPIFY INC - CLASS A",1.66,SHOP,CA82509L1076,"4,390","493,965"
27,"SAMSARA INC-CL A",1.57,IOT,US79589L1061,"12,077","465,931"
28,"ATLASSIAN CORP-CL A",1.47,TEAM,US0494681010,"1,983","434,991"
29,"APPLOVIN CORP-CLASS A",1.44,APP,US03831W1080,"1,240","427,490"
30,"VERTIV HOLDINGS CO-A",1.41,VRT,US92537N1081,"3,334","419,717"
31,"WORKDAY INC-CLASS A",1.40,WDAY,US98138H1014,"1,725","414,811"
32,"MARVELL TECHNOLOGY INC",1.37,MRVL,US5738741041,"5,652","406,661"
33,"PALO ALTO NETWORKS INC",1.36,PANW,US6974351057,"1,986","405,124"
34,"MONGODB INC",1.36,MDB,US60937P1066,"1,937","404,639"
35,"ASML HOLDING NV",1.32,ASML,NL0010273215,495,"392,951"
36,"ZSCALER INC",1.31,ZS,US98980G1022,"1,242","388,050"
37,"MICRON TECHNOLOGY INC",1.30,MU,US5951121038,"3,112","387,195"
38,"PURE STORAGE-A",1.23,PSTG,US74624M1027,"6,402","365,426"
39,"GITLAB INC-CL A",1.22,GTLB,US37637K1088,"7,753","361,290"
40,"CONFLUENT INC-CLASS A",1.18,CFLT,US20717M1036,"13,708","349,143"
41,"ARISTA NETWORKS INC",1.16,"2512042D US",US0404132054,"3,337","345,012"
42,"SYNOPSYS INC",0.97,SNPS,US8716071076,522,"287,888"
43,"QUALCOMM INC",0.95,QCOM,US7475251036,"1,773","282,705"
44,"ARM HOLDINGS PLC-ADR",0.92,ARM,US0420682058,"1,849","273,264"
45,"MEDIATEK INC",0.88,2454,TW0002454006,"6,000","262,288"
46,"TAIWAN DOLLAR",0.13,,–,"1,086,294","37,391"
47,Cash,0.08,,–,"23,865","23,865"
48,"KOREAN WON",0.07,,–,"26,407,231","19,306"
49,EURO,0.00,,–,43,50
50,"CANADIAN DOLLAR",0.00,,–,3,2
