"AGIX Holdings","As of 2025-07-17","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.01,META,US30303M1027,"3,345","2,346,216"
2,MICROSOFT CORP,5.16,MSFT,US5949181045,"3,374","1,726,476"
3,AMAZON.COM INC,4.85,AMZN,US0231351067,"7,258","1,624,921"
4,NVIDIA CORP,4.57,NVDA,US67066G1040,"8,842","1,529,666"
5,XAI HOLDINGS CORP,4.48,XAAI.PVT,–,"41,029","1,500,020"
6,"ANTHROPIC, PBC",3.57,ANTH.PVT,–,"17,829","1,194,543"
7,ALPHABET INC-CL A,3.24,GOOGL,US02079K3059,"5,911","1,085,141"
8,APPLE INC,3.05,AAPL,US0378331005,"4,868","1,022,377"
9,NEBIUS GROUP NV,3.01,NBIS,NL0009805522,"18,767","1,007,600"
10,ORACLE CORP,2.81,ORCL,US68389X1054,"3,784","941,270"
11,PALANTIR TECHN-A,2.69,PLTR,US69608A1088,"5,858","902,073"
12,BROADCOM INC,2.66,AVGO,US11135F1012,"3,114","892,005"
13,TESLA INC,2.5,TSLA,US88160R1014,"2,622","837,493"
14,SALESFORCE INC,2.44,CRM,US79466L3024,"3,147","817,842"
15,SERVICENOW INC,2.39,NOW,US81762P1021,835,"800,890"
16,ROBLOX CORP -CLASS A,2.33,RBLX,US7710491033,"6,381","779,567"
17,TSMC,2.3,2330.TW,TW0002330008,"20,000","768,498"
18,SAP SE,2.17,SAP,DE0007164600,"2,361","727,177"
19,CLOUDFLARE INC - CLASS A,2.14,NET,US18915M1071,"3,744","716,040"
20,SK HYNIX INC,1.91,000660.KS,KR7000660001,"3,301","638,888"
21,DATADOG INC - CLASS A,1.85,DDOG,US23804L1035,"4,336","620,698"
22,SNOWFLAKE INC,1.84,SNOW,US8334451098,"2,918","617,390"
23,ADOBE INC,1.75,ADBE,US00724F1012,"1,597","585,221"
24,SHOPIFY INC - CLASS A,1.69,SHOP,CA82509L1076,"4,465","565,481"
25,ELASTIC NV,1.64,ESTC,NL0013056914,"6,357","548,609"
26,DUOLINGO,1.59,DUOL,US26603R1068,"1,472","532,790"
27,TEMPUS AI INC,1.54,TEM,US88023B1035,"8,479","514,251"
28,SAMSARA INC-CL A,1.45,IOT,US79589L1061,"12,697","484,391"
29,APPLOVIN CORP-CLASS A,1.43,APP,US03831W1080,"1,312","477,279"
30,VERTIV HOLDINGS CO-A,1.38,VRT,US92537N1081,"3,524","462,067"
31,MARVELL TECHNOLOGY INC,1.36,MRVL,US5738741041,"6,340","456,543"
32,MONGODB INC,1.33,MDB,US60937P1066,"2,041","446,020"
33,WORKDAY INC-CLASS A,1.24,WDAY,US98138H1014,"1,805","416,756"
34,ARISTA NETWORKS INC,1.24,ANET,US0404132054,"3,712","415,670"
35,ASML HOLDING NV,1.24,ASML,NL0010273215,551,"415,133"
36,PALO ALTO NETWORKS INC,1.23,PANW,US6974351057,"2,102","412,581"
37,ATLASSIAN CORP-CL A,1.2,TEAM,US0494681010,"2,103","400,874"
38,ZSCALER INC,1.19,ZS,US98980G1022,"1,388","397,371"
39,PURE STORAGE-A,1.17,PSTG,US74624M1027,"6,821","390,502"
40,MICRON TECHNOLOGY INC,1.15,MU,US5951121038,"3,414","386,670"
41,GITLAB INC-CL A,1.08,GTLB,US37637K1088,"8,199","360,100"
42,CONFLUENT INC-CLASS A,1.05,CFLT,US20717M1036,"13,890","353,223"
43,SYNOPSYS INC,0.99,SNPS,US8716071076,561,"330,435"
44,ARM HOLDINGS PLC-ADR,0.93,ARM,US0420682058,"1,972","309,959"
45,MEDIATEK INC,0.85,2454.TW,TW0002454006,"6,000","283,596"
46,QUALCOMM INC,0.84,QCOM,US7475251036,"1,842","281,108"
47,Cash,0.78,,–,"260,623","260,623"
48,CANADIAN DOLLAR,0.14,,–,"66,535","48,370"
49,EURO,0.0,,–,43,50
50,KOREAN WON,-0.21,,–,"-99,495,782","-71,454"
51,TAIWAN DOLLAR,-0.23,,–,"-2,260,904","-76,881"
