Date,THNQ,AAPL,MU,PSTG,RBLX,ORCL,DDOG,META,BOTZ,AMZN,LOUP,PLTR,XB0T.DE,LRNZ,AIQ,WISE,SNOW,GTLB,GOOGL,MDB,MRVL,DIA,NVDA,TSLA,^DJI,SMH,RBTZ.AX,SHOP,TEAM,FDTX,CFLT,QQQ,WDAY,ESTC,ANTH.PVT,CRM,AVGO,IGPT,NOW,IGV,IOT,XAAI.PVT,AGIX,CHAT,ANET,SNPS,2330.TW,MSFT,000660.KS,QCOM,WTAI,NET,XAIX,^SPX,ADBE,PANW,XAIX.F,VRT,AIAI.L,2454.TW,DUOL,APP,RBOT,TEM,NBIS,ARTY,ASML,ARM,ZS,AIS,SAP,SPY
2023-01-02,,,,,,,,,,,,,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376985.0,,,,,,,,127.0,,,,,,,,,,,,,,,
2023-01-03,2700.0,112117500.0,12422800.0,2727900.0,13439400.0,8997500.0,3551000.0,35528500.0,276800.0,76706000.0,2600.0,29969900.0,6234.0,1300.0,14600.0,,4442000.0,1352700.0,28131200.0,1744500.0,10336700.0,3910700.0,401277000.0,231402800.0,355930000.0,4472400.0,6848.0,18847000.0,2862100.0,,1416200.0,42335300.0,2094000.0,1371300.0,,8196400.0,20173000.0,12300.0,1088000.0,5457500.0,1510200.0,,,,6774800.0,706100.0,14885824.0,25740000.0,2719437.0,8110400.0,800.0,4582400.0,,3959140000.0,2229100.0,7818200.0,51.0,3458300.0,435.0,4451795.0,460500.0,2575200.0,10437.0,,,38300.0,675100.0,,2510900.0,,928800.0,74850700.0
2023-01-04,10500.0,89113600.0,25077300.0,5664800.0,11799100.0,7836200.0,5188100.0,32397100.0,451100.0,68885100.0,1100.0,31660500.0,239.0,4100.0,33000.0,,6672900.0,1502200.0,34854800.0,1737900.0,10226300.0,4137300.0,431324000.0,180389000.0,379400000.0,10039800.0,701.0,20072500.0,2148400.0,,2372800.0,47754900.0,1660200.0,1146800.0,0.0,14322600.0,17074000.0,36000.0,1404900.0,5166000.0,1001700.0,,,,18456400.0,790400.0,19188422.0,50623400.0,5154609.0,7614200.0,500.0,3355300.0,,4414080000.0,2186800.0,8549600.0,0.0,2505300.0,9829.0,2734185.0,663800.0,3561300.0,12253.0,,,67700.0,1087300.0,,1617000.0,,819200.0,85934100.0
2023-01-05,2000.0,80962700.0,18030900.0,3889500.0,13696500.0,7643800.0,7975700.0,25447100.0,257200.0,67930800.0,35800.0,34186000.0,726.0,11600.0,13900.0,,8231800.0,2685000.0,27194400.0,2263300.0,13007300.0,4350100.0,389168000.0,157986300.0,337920000.0,5936200.0,2427.0,16462100.0,2691800.0,,3887800.0,45396700.0,3003800.0,1376900.0,0.0,8493500.0,16277000.0,15600.0,1790000.0,6842500.0,931300.0,,,,14831600.0,794200.0,23549581.0,39585600.0,3510964.0,7546000.0,400.0,7318500.0,,3893450000.0,2081600.0,11473400.0,29.0,2951600.0,2692.0,5231120.0,446400.0,4030100.0,12097.0,,,23600.0,710900.0,,3931100.0,,853400.0,76970500.0
2023-01-06,1100.0,87754700.0,21069800.0,3643900.0,14444400.0,8641600.0,5094700.0,27584500.0,484700.0,83303400.0,1400.0,30596400.0,3996.0,3800.0,15800.0,,5827400.0,1620300.0,41381500.0,2042700.0,21224900.0,4800800.0,405044000.0,220911100.0,360740000.0,7005400.0,5988.0,15951900.0,2886600.0,,3651000.0,54659700.0,1910300.0,1316700.0,0.0,9145700.0,35261000.0,11700.0,2676700.0,6585000.0,785200.0,,,,9314000.0,603900.0,20886011.0,43613600.0,3687430.0,10259300.0,100.0,5464100.0,,3923560000.0,2216600.0,7414200.0,15.0,2504700.0,2136.0,6890898.0,200200.0,4199800.0,10923.0,,,24400.0,1025800.0,,2613100.0,,820900.0,104189600.0
2023-01-09,1800.0,70790800.0,15715900.0,3773500.0,18246700.0,7519700.0,4237800.0,26649100.0,1319100.0,65266100.0,2400.0,31028900.0,4260.0,7200.0,25400.0,,8192900.0,1575600.0,29003900.0,1632000.0,10529800.0,3864000.0,504231000.0,190284000.0,327840000.0,11422600.0,8636.0,17446600.0,3959400.0,,3865100.0,45568700.0,1727600.0,1655100.0,0.0,13679700.0,37739000.0,21300.0,2087800.0,5766500.0,1246300.0,,,,7245200.0,717700.0,46666263.0,27369800.0,3948670.0,10291800.0,2600.0,7439400.0,,4311770000.0,3133800.0,8801600.0,1225.0,4388600.0,1670.0,6953372.0,359600.0,3275600.0,17463.0,,,146200.0,1348800.0,,2961300.0,,1481800.0,73978100.0
2023-01-10,2000.0,63896200.0,10571300.0,3406300.0,10156900.0,5703300.0,3654000.0,28684400.0,524700.0,67756600.0,1400.0,28236600.0,4770.0,900.0,66400.0,,4518400.0,1654500.0,30467800.0,1156900.0,9699600.0,2277500.0,384101000.0,167642500.0,268260000.0,5464000.0,17650.0,20460400.0,2592300.0,,3504300.0,35247800.0,1824800.0,704200.0,0.0,6527700.0,44635000.0,6600.0,1064600.0,3188000.0,850200.0,,,,5217200.0,530500.0,32646014.0,27033900.0,3105311.0,6384800.0,900.0,3343300.0,,3851030000.0,1670200.0,9716400.0,0.0,2425000.0,3156.0,8579851.0,217000.0,3943900.0,12697.0,,,153200.0,873900.0,,2912500.0,,1093400.0,65358100.0
2023-01-11,8800.0,69458900.0,12143000.0,2873500.0,12662600.0,8359700.0,3865500.0,25423000.0,455200.0,103126200.0,7900.0,25936700.0,318.0,6700.0,35200.0,,4290300.0,1605100.0,26862000.0,1304700.0,10319200.0,3265800.0,353285000.0,183810800.0,301650000.0,5737000.0,17938.0,19921800.0,4067500.0,,2461200.0,44077000.0,1915400.0,840500.0,0.0,13595000.0,22502000.0,16800.0,1258400.0,4248000.0,647400.0,,,,5926400.0,592100.0,21051115.0,28669300.0,3083961.0,7374400.0,700.0,3109700.0,,4303360000.0,2344400.0,6454600.0,8.0,1817900.0,702.0,6807896.0,268100.0,2544500.0,10683.0,,,27800.0,806500.0,,2376800.0,,785900.0,68881100.0
2023-01-12,2500.0,71379600.0,14888100.0,3451000.0,10674800.0,6071100.0,4390800.0,30757700.0,481900.0,85254800.0,1900.0,30152500.0,1429.0,1500.0,23300.0,,3810000.0,1480700.0,30258100.0,1259900.0,14713100.0,4332600.0,551409000.0,169400900.0,308190000.0,7704600.0,10633.0,19977600.0,2519400.0,,2924500.0,60600000.0,2119400.0,850600.0,0.0,11678000.0,19514000.0,9900.0,2314000.0,6381000.0,674900.0,,,,6387200.0,535300.0,20963689.0,27269500.0,3065582.0,9527600.0,400.0,3732400.0,,4440260000.0,2121800.0,7644600.0,1.0,1886400.0,178.0,6154916.0,341400.0,1727000.0,14063.0,,,46900.0,1322200.0,,5220700.0,,1082800.0,90157700.0
2023-01-13,900.0,57809700.0,12520600.0,4162800.0,10184800.0,5090800.0,2929200.0,22423800.0,883200.0,85549400.0,1100.0,20981000.0,2721.0,2600.0,201600.0,,4919300.0,1301600.0,26329200.0,1494500.0,11871700.0,3473400.0,447287000.0,180714100.0,274110000.0,4264400.0,8025.0,24097400.0,1820500.0,,1815300.0,44802900.0,2042000.0,1416100.0,0.0,8378100.0,19647000.0,6300.0,1118100.0,4021500.0,753800.0,,,,7999600.0,550700.0,77606949.0,21333300.0,2058890.0,8040400.0,1200.0,2959900.0,,3939700000.0,2581900.0,8742600.0,50.0,1840500.0,646.0,6607197.0,417800.0,1345500.0,37667.0,,,37600.0,649700.0,,3053700.0,,755600.0,63903900.0
2023-01-16,,,,,,,,,,,,,3770.0,,,,,,,,,,,,,,10293.0,,,,,,,,,,,,,,,,,,,,34373918.0,,1512876.0,,,,,,,,0.0,,559.0,4831796.0,,,,,,,,,,,,
2023-01-17,3900.0,63646600.0,10962700.0,4967500.0,33311200.0,6550400.0,3851200.0,21147600.0,561100.0,72755000.0,1100.0,30910300.0,2217.0,2000.0,45500.0,,4607400.0,1746000.0,32602400.0,1397700.0,13030300.0,3929700.0,511102000.0,186477000.0,353050000.0,5059200.0,4979.0,20077200.0,1877900.0,,2253500.0,36269700.0,2655200.0,2042800.0,0.0,9407600.0,15835000.0,11400.0,1348700.0,6118500.0,1406300.0,,,,10824800.0,653900.0,27770329.0,29831300.0,1586136.0,6179500.0,2800.0,5712100.0,,4235560000.0,2512700.0,10438200.0,0.0,1798000.0,1782.0,4423459.0,418600.0,2863100.0,26530.0,,,44000.0,902600.0,,4049800.0,,826800.0,62677300.0
2023-01-18,6900.0,69672800.0,10035300.0,4929000.0,17099900.0,6397700.0,3478900.0,20215500.0,444800.0,79570400.0,26400.0,32743400.0,4742.0,5600.0,15300.0,,4337000.0,1373000.0,29116700.0,1339300.0,7445100.0,5164300.0,439624000.0,195680300.0,351670000.0,9374600.0,73552.0,19447800.0,1766000.0,,3145900.0,47754500.0,1867900.0,760900.0,0.0,7812600.0,15703000.0,4500.0,1726700.0,5724500.0,1281100.0,,,,9951200.0,587100.0,,30028700.0,1494262.0,10960400.0,2600.0,4292000.0,,4298710000.0,2079800.0,8877000.0,1.0,2442900.0,2330.0,,611300.0,1975600.0,10383.0,,,34900.0,1152700.0,,3122800.0,,1394900.0,99632300.0
2023-01-19,1800.0,58280400.0,12034200.0,5842000.0,20781200.0,5597000.0,3626700.0,28625200.0,604600.0,69002700.0,500.0,24841700.0,1723.0,7700.0,13200.0,,4916400.0,1256600.0,37000400.0,1523800.0,10528300.0,3454200.0,452932000.0,170291900.0,319770000.0,9283000.0,18643.0,15311900.0,1632600.0,,1781500.0,44150400.0,1994400.0,1536500.0,0.0,7070100.0,22692000.0,7500.0,2678900.0,4710000.0,759100.0,,,,6972000.0,630700.0,,28623000.0,1674834.0,8716200.0,300.0,4287300.0,,3991500000.0,2467000.0,5265000.0,53.0,2197000.0,2718.0,,415000.0,1856500.0,4473.0,,,78200.0,1534100.0,,1896900.0,,891100.0,86958900.0
2023-01-20,1500.0,80223600.0,13826400.0,3883400.0,14017100.0,5567300.0,3420400.0,28688600.0,1465300.0,67481500.0,700.0,28751700.0,1436.0,1400.0,16800.0,,4714200.0,1357000.0,63191100.0,1105500.0,15860800.0,4120200.0,564967000.0,138858100.0,367330000.0,5709800.0,50601.0,15073100.0,2793500.0,,2832400.0,60613600.0,2980300.0,1277700.0,0.0,10127100.0,22950000.0,9900.0,1522700.0,5963000.0,536300.0,,,,8554800.0,816600.0,,35389800.0,2386074.0,8895000.0,2800.0,4416800.0,,4013360000.0,3149400.0,14043000.0,20.0,1491000.0,759.0,,249800.0,1960100.0,10610.0,,,44700.0,1033200.0,,2579400.0,,728500.0,91806400.0
2023-01-23,1100.0,81760300.0,20175400.0,7198200.0,9872500.0,7390200.0,4425800.0,27470100.0,868900.0,76501100.0,1400.0,31633300.0,853.0,4800.0,13800.0,,4562700.0,1445800.0,40005100.0,1182500.0,13619500.0,3985300.0,655163000.0,203119200.0,355220000.0,12790000.0,4173.0,29496300.0,4615800.0,,4354500.0,52799900.0,2013300.0,2107400.0,0.0,19922900.0,23429000.0,8100.0,1806300.0,8299500.0,1354400.0,,,,7890400.0,661800.0,,31934000.0,,13419500.0,3000.0,4362800.0,,3945210000.0,3187100.0,8998800.0,213.0,4017500.0,2200.0,,179600.0,2707800.0,5553.0,,,102800.0,1780900.0,,2922900.0,,1059800.0,84178800.0
2023-01-24,1500.0,66435100.0,10183200.0,5545600.0,5685800.0,7004600.0,4761400.0,21970200.0,759700.0,66929500.0,3800.0,22649500.0,3759.0,64100.0,15700.0,,4086100.0,1074400.0,33078500.0,1440100.0,8960300.0,3360900.0,496204000.0,158699100.0,299310000.0,7328600.0,32206.0,16032500.0,2212100.0,,3460300.0,44875100.0,1460200.0,1647900.0,0.0,6390200.0,13825000.0,10200.0,1415400.0,3474500.0,1267400.0,,,,7675600.0,448300.0,,40234400.0,,7952400.0,1300.0,3768300.0,,3320430000.0,2466400.0,10361000.0,30.0,2496700.0,40.0,,151200.0,2775700.0,11783.0,,,33900.0,1066900.0,,1382500.0,,1022100.0,59524900.0
2023-01-25,1900.0,65799300.0,10787200.0,4352300.0,9114100.0,5896800.0,10284600.0,26622000.0,477000.0,94261600.0,1500.0,37147900.0,3164.0,14700.0,31400.0,,7460100.0,1273600.0,42330000.0,2679500.0,9600000.0,4318600.0,449537000.0,192734300.0,341720000.0,6854000.0,24654.0,59097900.0,2691100.0,,3606100.0,50872000.0,1198000.0,1355000.0,0.0,9390500.0,13766000.0,14400.0,3448100.0,8989500.0,918800.0,,,,8468800.0,429300.0,,66526600.0,5019.0,6880300.0,900.0,5232600.0,,3724020000.0,2239100.0,12983000.0,0.0,3616400.0,944.0,,243500.0,1904200.0,10847.0,,,19700.0,1569200.0,,2570200.0,,1310900.0,84800300.0
2023-01-26,4400.0,54105100.0,12219500.0,4521200.0,9882700.0,7302800.0,6877500.0,25482100.0,418400.0,68523600.0,10000.0,28005600.0,6085.0,2900.0,176100.0,,4450200.0,1684000.0,30114000.0,1854200.0,10503900.0,2930900.0,489535000.0,234815100.0,327000000.0,7196400.0,,28958200.0,1934500.0,,13683300.0,51596300.0,1693300.0,1411900.0,0.0,13354600.0,24525000.0,21600.0,6350900.0,8012000.0,790200.0,,,,6474800.0,544800.0,,33454500.0,4542.0,7413600.0,6100.0,5403600.0,,3809590000.0,2350500.0,13565000.0,30.0,4217200.0,66978.0,,301100.0,1905800.0,5813.0,,,38300.0,1593300.0,,2301100.0,,1869700.0,72287400.0
2023-01-27,2500.0,70555800.0,15895800.0,5657500.0,13095400.0,5676800.0,7447500.0,35771900.0,480000.0,87775600.0,700.0,37555200.0,3248.0,8300.0,170100.0,,11486800.0,2368600.0,33879800.0,2985400.0,7953000.0,2907400.0,542142000.0,306590600.0,441260000.0,7254600.0,53218.0,24480200.0,2758100.0,,8155700.0,56441900.0,1189800.0,1044100.0,0.0,9872300.0,19344000.0,11100.0,2351300.0,5711500.0,1026200.0,,,,8716000.0,489800.0,,26498900.0,5083.0,6581900.0,4300.0,8717700.0,,3907760000.0,2615600.0,8343400.0,73.0,3144100.0,1474.0,,541500.0,2602600.0,6653.0,,,68200.0,1249700.0,,2962800.0,,957900.0,68346200.0
2023-01-30,5300.0,64015300.0,16169000.0,2911200.0,8977700.0,6255300.0,4407800.0,28040100.0,547100.0,70691900.0,900.0,28567800.0,2912.0,4000.0,31000.0,,4239500.0,1384500.0,27226200.0,1244600.0,10071400.0,3032700.0,488611000.0,230878800.0,343920000.0,8050000.0,32885.0,18872900.0,2486100.0,,6617800.0,49405800.0,1674500.0,2285600.0,0.0,8169800.0,16984000.0,20400.0,2319200.0,6271500.0,512300.0,,,,7096400.0,629800.0,124428936.0,25867400.0,6289.0,9854300.0,8800.0,4645400.0,,3802000000.0,2663600.0,6137600.0,15.0,1808100.0,2108.0,14092868.0,375400.0,2764100.0,5050.0,,,75600.0,1209900.0,,2607900.0,,1587800.0,74202000.0
2023-01-31,6400.0,65874500.0,23856300.0,4194700.0,9242900.0,6200400.0,3199000.0,29842100.0,441000.0,66527300.0,3400.0,40984000.0,3188.0,2200.0,8800.0,,5216200.0,1237800.0,29870700.0,1233800.0,9438400.0,2593500.0,498017000.0,196813500.0,360240000.0,5484000.0,11223.0,21531600.0,1790400.0,,8147800.0,46705100.0,1971400.0,1989200.0,0.0,6421300.0,23719000.0,8700.0,2036200.0,4072500.0,676800.0,,,,6803200.0,934200.0,72530854.0,26541100.0,29971.0,7125100.0,3600.0,4712800.0,,4679320000.0,2572400.0,4096000.0,290.0,2066500.0,989.0,10849696.0,306900.0,2207100.0,5153.0,,,95000.0,801800.0,,2087800.0,,1270400.0,86811800.0
2023-02-01,8700.0,77663600.0,20902200.0,4269700.0,11213100.0,6141300.0,7960200.0,55661000.0,901200.0,80450100.0,1800.0,50123700.0,18343.0,6500.0,24600.0,,5056100.0,1980500.0,35531100.0,1748500.0,14963200.0,6175400.0,660477000.0,213806300.0,370120000.0,15518600.0,54271.0,26964600.0,2036300.0,,7690700.0,67562200.0,2396500.0,1922300.0,0.0,8853900.0,26553000.0,22200.0,2261500.0,13393000.0,1567100.0,,,,15002000.0,844300.0,33710990.0,31259900.0,8975.0,10500600.0,23500.0,5127400.0,,4856930000.0,3362000.0,10685000.0,75.0,2065700.0,72.0,5742796.0,329900.0,3002900.0,10050.0,,,217000.0,1274200.0,,2453400.0,,853900.0,101459200.0
2023-02-02,11100.0,118339000.0,15877600.0,8773100.0,17277900.0,8269200.0,7919800.0,150475700.0,1063700.0,158154200.0,37000.0,71889700.0,3661.0,10500.0,102400.0,,8578200.0,2967600.0,69883800.0,2693500.0,17101400.0,5169400.0,564276000.0,217448300.0,429910000.0,12985800.0,45954.0,26663500.0,4849400.0,,9281400.0,83070600.0,2662500.0,2459400.0,0.0,10667100.0,24188000.0,47400.0,2299700.0,13025500.0,1891800.0,,,,18964800.0,939700.0,43077053.0,39940400.0,8254.0,17673200.0,122200.0,10918400.0,,5624360000.0,4020000.0,12139600.0,20.0,2340500.0,450.0,11004915.0,749400.0,5440900.0,12047.0,,,246400.0,1318600.0,,3471700.0,,866500.0,101654500.0
2023-02-03,8800.0,154357300.0,12187100.0,3784100.0,14357300.0,5671800.0,7041200.0,76809700.0,482000.0,144374800.0,6200.0,64785500.0,9899.0,3700.0,91600.0,,7312900.0,3775300.0,65309300.0,2408400.0,11962100.0,6504300.0,429366000.0,232662000.0,425150000.0,7489600.0,33085.0,21572000.0,7322800.0,,7159700.0,76170800.0,2001600.0,1915200.0,0.0,6481700.0,19093000.0,9900.0,1750700.0,9288500.0,1950500.0,,,,8339600.0,941300.0,31635865.0,29077300.0,13644.0,13187300.0,17700.0,5729200.0,,4694510000.0,2695400.0,4942000.0,150.0,3013600.0,30743.0,6331833.0,1309200.0,2688500.0,12177.0,,,110300.0,1015800.0,,3066900.0,,1098500.0,94736800.0
2023-02-06,3400.0,69858300.0,11484300.0,3844400.0,7781500.0,4097200.0,4236200.0,42483800.0,708100.0,81945200.0,400.0,38845500.0,3363.0,4700.0,26600.0,,5708700.0,1427800.0,31999600.0,1335100.0,7777300.0,2708400.0,452197000.0,186188100.0,296400000.0,7811400.0,38572.0,13585900.0,2717400.0,,3565400.0,40802300.0,1790100.0,1422500.0,0.0,4310600.0,18709000.0,8700.0,2459700.0,6513500.0,1520500.0,,,,8419200.0,578400.0,30870136.0,22518000.0,14291.0,6830500.0,45100.0,4942100.0,,4114240000.0,2369600.0,6031000.0,172.0,3748500.0,1526.0,7504061.0,298600.0,3526800.0,9663.0,,,72000.0,783100.0,,2014400.0,,519500.0,60295300.0
